Продукты	Несъедобная часть %	Белки г	Жиры г	Усвояемые углеводы г	Минеральные вещества, мг						Витамины, мг						Энерго-ценность, ккал
					Натрий	Калий	Кальций	Магний	Фосфор	Железо	Каротин	А	В1	В2	РР	С	
**МУКА,КРУПЫ,МАКАРОНЫ,БОБОВЫЕ**																	
Сыр голландский брусковый	4	26	26,8	---	1100	100	1040	50	540	1,2	0,17	0,21	0,03	0,38	0,2	2,8	352
Сыр российский	3	23	29	---	820	116	1000	50	540	1,1	0,17	0,26	0,04	0,3	0,15	1,6	360
Сыр литовский	3	29	15	---	960	140	960	50	580	0,9	0,1	0,17	0,04	0,35	0,4	3,5	258
Сыр пошехонский	2	26	26,5	---	860	---	1050	---	540	---	0,17	0,23	0,03	0,3	0,2	2,8	350
Сыр прибалтийский	3	30	9	---	960	---	1080	---	580	---	0,05	0,1	0,02	0,44	0,4	0,9	209
Сыр костромской	2	25,2	26,3	---	850	120	900	50	500	1,2	0,17	0,23	0,03	0,36	0,2	3	345
Сыр советский	4	24,7	31,2	---	840	160	1050	50	580	1,1	0,16	0,27	0,05	0,46	0,1	1,5	389
Брынза из овечьего молока	0	14,6	25,5	---	1600	---	550	---	310	---	---	---	0,05	0,15	---	1	298
Плавленный сыр советский	0,5	23	22,5	---	---	---	---	---	---	---	0,07	0,14	0,04	0,38	0,18	---	302
Плавленый сыр "Новый" 30% жирности	0,5	24	13,5	---	---	---	680	---	---	---	---	---	---	---	---	---	226
Мороженное сливочное	0	3,3	10	19,8	50	156	148	22	107	0,1	0,03	0,06	0,03	0,2	0,05	0,6	179
Мороженое молочное	0	3,2	3,5	21,3	51	148	136	17	101	0,1	0,01	0,02	0,03	0,16	0,05	0,4	126
**МЯСО, МЯСНЫЕ ПРОДУКТЫ**																	
Говядина I категории	25	18,6	16	---	65	325	9	22	188	2,7	---	Сл.	0,06	0,15	4,7	Сл.	218
Говядина II категории	29	20	9,8	---	73	355	10	25	200	2,9	---	Сл.	0,07	0,18	5	Сл.	168
Баранина I категории	26	15,6	16,3	---	80	270	9	20	168	2	---	Сл.	0,08	0,14	3,8	Сл.	209
Баранина II категории	32	19,8	9,6	---	101	345	11	25	190	2,3	---	Сл.	0,09	0,16	4,1	Сл.	166
Мясо кролика	27	21,1	11	---	57	335	20	25	190	3,3	---	0,01	0,12	0,18	6,2	0,8	183
Свинина мясная	15	14,3	33,3	---	58	285	7	24	164	1,7	---	Сл.	0,52	0,14	2,6	Сл.	357
Свинина жирная	12	11,7	49,3	---	47	230	6	20	130	1,4	---	Сл.	0,4	0,1	2,2	Сл.	491
Конина I категории	25	18,6	16	---	65	325	9	22	188	2,7	---	Сл.	0,06	0,15	4,7	Сл.	218
Телятина I категории	28	19,7	2	---	108	345	12	24	206	2,9	---	Сл.	0,14	0,23	5,8	Сл.	97
Печень говяжья	7	17,9	3,7	---	104	277	9	18	314	6,9	1	8,2	0,3	2,19	9	33	105
Почки говяжьи	7	15,2	2,8	---	218	237	13	18	239	6	---	0,23	0,39	1,8	5,7	10	86
Язык говяжий	8	16	12,1	---	100	255	8	19	224	4,1	---	Сл.	0,12	0,3	4,8	Сл.	173
Сосиски молочные	1,5	11	23,9	1,6	807	220	35	20	159	1,8	---	---	---	---	---	---	266
Сардельки говяжьи	1,5	11,4	18,4	1,5	823	183	26	16	131	1,8	---	---	0,04	0,09	2,2	---	215
Сардельки свиные	1,5	10,1	31,6	1,9	898	215	16	18	139	1,2	---	---	0,25	0,12	2	---	332
Колбаса вареная говяжья	1	15	11,7	---	959	281	23	21	209	3,5	---	---	0,06	0,13	3,5	---	165
Колбаса вареная любительская	1	12,2	28	---	900	211	19	17	146	1,7	---	---	0,25	0,18	2,47	---	301
Колбаса вареная молочная	1	11,7	22,8	---	835	250	40	21	169	1,7	---	---	0,25	0,2	2,65	---	252
Колбаса вареная отдельная	1	11	21	1,8	1047	255	17	19	167	2,1	---	---	0,12	0,16	3,88	---	240
Колбаса вареная диетическая	1	12,1	13,5	---	822	293	38	33	188	2,2	---	---	0,06	0,13	3,8	---	170
Колбаса вареная диабетическая	1	12,1	22,8	---	839	251	21	20	152	1,4	---	---	0,18	0,14	3,2	---	254
Колбаса полукопченая украинская	1	16,5	34,4	---	1630	334	29	27	226	2,7	---	---	0,19	0,2	2,25	---	376
Колбаса сырокопченая московская	1	24,8	41,5	---	2203	277	36	28	225	2,1	---	---	0,5	0,17	3,4	---	534
Говядина тушеная (консервы)	---	16,8	17	---	444	284	14	19	178	2,4	---	---	0,02	0,15	4	---	220
Куры I категории	39/25	18,2	18,4	0,7	70	194	16	18	165	1,6	---	0,07	0,07	0,15	7,7	---	241
Куры II категории	47/30	21,2	8,2	0,6	79	240	18	21	190	1,6	---	0,07	0,07	0,14	7,8	---	161
Цыплята-бройлеры I категории	44/28	18,7	16,1	0,5	70	236	14	19	160	1,3	---	0,04	0,09	0,15	6,1	---	183
Циплята-бройлеры II категории	52/33	19,7	11,2	0,5	88	242	12	22	175	1,7	---	0,03	0,11	0,16	6,4	---	127
Индейки I категории	37/23	19,5	22	---	90	210	12	19	200	1,4	---	0,01	0,05	0,22	7,8	---	276
Гуси I категории	40/22	15,2	39	---	191	240	12	30	165	2,4	---	0,02	0,08	0,23	5,2	---	412
Утки I категории	40/22	15,8	38	---	58	156	10	15	136	1,9	---	0,05	0,12	0,17	5,8	---	405
**РЫБА,МОРЕПРОДУКТЫ**																	
Горбуша	42	21	7	---	100	335	20	30	200	0,6	---	0,03	0,2	0,16	2,5	Сл.	147
Жерех	49	18,8	2,6	---	100	265	30	35	220	0,6	---	0,02	0,02	0,06	1	1	99
Камбала дальневосточная	45	15,7	3	---	200	320	20	35	400	0,7	---	0,02	0,06	0,11	1	1	90
Карась	52	17,7	1,8	---	100	280	70	25	220	0,9	---	---	---	---	---	---	87
Карп	54	16	5,3	---	55	265	35	25	210	0,8	---	0,02	0,14	0,13	1,5	1,8	112
Лещ	54	17,1	4,1	---	70	265	25	30	220	0,3	---	0,03	0,12	0,1	2	---	105
Макрорус	64	13,3	1,6	0,1	130	300	30	35	150	0,6	---	0,03	0,17	0,13	4,3	1,7	68
Минтай	54	15,9	0,9	---	120	420	40	55	240	0,8	---	0,01	0,11	0,11	1	1,8	72
Мойва весенняя	42	13,1	7,1	---	130	290	30	30	240	0,4	---	0,04	0,03	0,15	0,8	2,8	116
Мойва осенняя	37	13,6	18,1	---	130	290	30	30	240	0,4	---	---	---	---	---	---	217
Нототения	69	15,7	9,5	---	100	310	30	35	210	1,5	---	0,08	0,12	0,1	2,3	0,2	148
Окунь морской	49	18,2	3,3	---	80	300	30	30	210	1,2	---	0,01	0,11	0,12	1,6	1,4	103
Окунь речной	52	18,5	0,9	---	100	280	50	75	270	0,7	---	---	---	---	---	---	82
Осетр	36	16,4	10,9	---	100	335	30	35	220	0,6	---	---	---	---	---	---	164
Путассу	45	18,5	0,9	---	120	335	40	40	210	0,7	---	0,04	0,02	0,09	1,9	1,4	82
Сазан азовский	51	18,4	5,3	---	55	260	90	25	240	2,2	---	---	---	---	---	---	121
Сайра средняя	42	19,5	14,1	---	100	285	15	20	220	0,6	---	---	---	---	---	---	205
Сардина океаническая	34	19	10	---	140	385	80	40	280	2,5	---	0,01	0,01	0,15	4	1,3	166
Сельдь жирная	42	14	15	---	100	336	50	35	220	1,4	---	0,03	0,02	0,22	3	3,2	191
Сельдь нежирная	45	18	7	---	100	335	50	35	220	1,4	---	Сл.	0,02	0,3	4	Сл.	135
Скумбрия атлантическая	40	18	13,2	---	100	280	40	50	280	1,7	---	0,01	0,12	0,36	3,9	1,2	191
Ставрида	51	18,5	4,5	---	70	350	65	40	260	1,1	---	0,01	0,17	0,12	1,3	1,5	114
Судак	49	18,4	1,1	---	35	280	35	25	230	0,5	---	0,01	0,08	0,11	1	3	84
Треска	51	16	0,6	---	100	340	25	30	210	0,6	---	0,01	0,09	0,16	2,3	1	69
Хек серебристый	43	16,6	2,2	---	140	335	30	35	240	0,7	---	0,01	0,12	0,1	1,3	3,2	86
Щука	57	18,4	1,1	---	40	260	40	35	200	1,7	---	Сл.	0,11	0,14	1,1	1,6	84
Кальмар (мясо)	52	18	4,2	---	110	280	40	90	---	1,1	---	0	0,18	0,09	2,5	1,5	110
Паста "Океан"	---	13,6	4,2	---	400	170	108	67	---	1,3	---	---	0,07	0,08	2	1,7	92
Морская капуста	---	0,9	0,2	3	520	970	40	170	55	16	0,15	0	0,04	0,06	0,4	2	16
Мидии	---	9,1	1,5	---	---	---	---	---	---	---	---	---	0,02	0,14	0,6	1	50
Кета соленая	33	24,3	9,6	---	---	317	23	---	236	0,7	---	Сл.	0,2	0,16	2,6	1,2	184
Сельдь среднесоленая	42	17	8,5	---	4800	215	80	40	270	2,4	---	0,02	0,02	0,13	1,8	0,8	145
Скумбрия холодного копчения	40	23,4	6,4	---	---	128	80	48	---	0,8	---	0,02	0,12	0,18	2,9	2,9	150
Балык осетровый холодного копчения	21	20,4	12,5	---	---	240	39	21	181	2,6	---	---	---	---	---	---	194
Икра зернистая кеты	0	31,6	13,8	---	---	265	90	29	490	1,8	---	0,45	---	---	---	---	251
Икра осетровая	0	28,9	10,7	---	---	---	---	---	---	---	---	0,18	0,3	0,36	1,5	1,7	203
Икра минтаевая	0	28,4	1,9	---	---	190	35	35	---	1,5	---	0,04	0,67	0,22	0,7	2,3	131
